Sindarin	English
I goth den ant mi ‘ador	the enemy has locked her in the dungeon
I goth den ant mi ‘ador	the enemy has locked it in the dungeon
I goth den ant mi ‘ador	the enemy incarcerated him in the dungeon
I goth den ant mi ‘ador	the enemy incarcerated her in the dungeon
I goth den ant mi ‘ador	the enemy incarcerated it in the dungeon
I goth din ant mi ‘ador	the enemy has locked them in the dungeon
I goth din ant mi ‘ador	the enemy incarcerated them in the dungeon
Natho den	help him
Natho den	help her
Natho den	help it
Natho din	help them
Natho mhen	help us
Natho nin	help me
Natho	help
Nesto den	heal him
Nesto den	heal her
Nesto den	heal it
Nesto din	heal them
Nesto mhen	heal us
Nesto nin	heal me
Nesto	heal
Leithio den	release him
Leithio den	release her
Leithio den	release it
Leithio din	release them
Leithio mhen	release us
Leithio nin	release me
Leithio	release
Berio den	protect him
Berio den	protect her
Berio den	protect it
Berio din	protect them
Berio mhen	protect us
Berio nin	protect me
Berio	protect
De nathathodh?	would you please help him?
De nathathodh?	would you please help her?
De nathathodh?	would you please help it?
De nathathodh?	are you willing to help him?
De nathathodh?	are you willing to help her?
De nathathodh?	are you willing to help it?
De nathathog?	would you please help him?
De nathathog?	would you please help her?
De nathathog?	would you please help it?
De nathathog?	are you willing to help him?
De nathathog?	are you willing to help her?
De nathathog?	are you willing to help it?
Dhe nathathon	I am willing to help you
Dhe nathathon	I will help you
Di nathathodh?	would you please help them?
Di nathathodh?	are you willing to help them?
Di nathathog?	would you please help them?
Di nathathog?	are you willing to help them?
Gi nathathon	I will help you
Gi nathathon	I am willing to help you
Mhe nathathodh?	would you please help us?
Mhe nathathodh?	are you willing to help us?
Mhe nathathog?	would you please help us?
Mhe nathathog?	are you willing to help us?
Ni nathathodh?	would you please help me?
Ni nathathodh?	are you willing to help me?
Ni nathathog?	would you please help me?
Ni nathathog?	are you willing to help me?
De nestathodh?	would you please heal him?
De nestathodh?	would you please heal her?
De nestathodh?	would you please heal it?
De nestathodh?	are you willing to heal him?
De nestathodh?	are you willing to heal her?
De nestathodh?	are you willing to heal it?
De nestathog?	would you please heal him?
De nestathog?	would you please heal her?
De nestathog?	would you please heal it?
De nestathog?	are you willing to heal him?
De nestathog?	are you willing to heal her?
De nestathog?	are you willing to heal it?
Dhe nestathon	I will heal you
Dhe nestathon	I am willing to heal you
Di nestathodh?	would you please heal them?
Di nestathodh?	are you willing to heal them?
Di nestathog?	would you please heal them?
Di nestathog?	are you willing to heal them?
Gi nestathon	I will heal you
Gi nestathon	I am willing to heal you
Mhe nestathodh?	would you please heal us?
Mhe nestathodh?	are you willing to heal us?
Mhe nestathog?	would you please heal us?
Mhe nestathog?	are you willing to heal us?
Ni nestathodh?	would you please heal me?
Ni nestathodh?	are you willing to heal me?
Ni nestathog?	would you please heal me?
Ni nestathog?	are you willing to heal me?
De leithiathodh?	would you please release him?
De leithiathodh?	would you please release her?
De leithiathodh?	would you please release it?
De leithiathodh?	are you willing to realse him?
De leithiathodh?	are you willing to release her?
De leithiathodh?	are you willing to release it?
De leithiathog?	would you please release him?
De leithiathog?	would you please release it?
De leithiathog?	would you please release her?
De leithiathog?	are you willing to release him?
De leithiathog?	are you willing to release her?
De leithiathog?	are you willing to release it?
Dhe leithiathon	I will release you
Dhe leithiathon	I am willing to release you
Di leithiathodh?	would you please release them?
Di leithiathodh?	are you willing to release them?
Di leithiathog?	would you please release them?
Di leithiathog?	are you willing to release them?
Gi leithiathon	I will release you
Gi leithiathon	I am willing to release you
Mhe leithiathodh?	would you please release us?
Mhe leithiathodh?	are you willing to release us?
Mhe leithiathog?	would you please release us?
Mhe leithiathog?	are you willing to release us?
Ni leithiathodh?	would you please release me?
Ni leithiathodh?	are you willing to release me?
Ni leithiathog?	would you please release me?
Ni leithiathog?	are you willing to release me?
De meriathodh?	would you please protect him?
De meriathodh?	would you please protect her?
De meriathodh?	would you please protect it?
De meriathodh?	are you willing to protect him?
De meriathodh?	are you willing to protect her?
De meriathodh?	are you willing to protect it?
De meriathog?	would you please protect him?
De meriathog?	would you please protect her?
De meriathog?	would you please protect it?
De meriathog?	are you willing to protect him?
De meriathog?	are you willing to protect her?
De meriathog?	are you willing to protect it?
Dhe meriathon	I will protect you
Dhe meriathon	I am willing to protect you
Di meriathodh?	would you please protect them?
Di meriathodh?	are you willing to protect them?
Di meriathog?	would you please protect them?
Di meriathog?	are you willing to protect them?
Gi meriathon	I will protect you
Gi meriathon	I am willing to protect you
Mhe meriathodh?	would you please protect us?
Mhe meriathodh?	are you willing to protect us?
Ni meriathodh?	would you please protect me?
Ni meriathodh?	are you willing to protect me?
Ni meriathog?	would you please protect me?
Ni meriathog?	are you willing to protect me?
Davo annin	let me
Davo annin	allow for me to
Aníron	I want to
Avon	I will not
Avon	I refuse to
Boe	One needs to be
Boe	It is necessary to
Ni si an	I am here for
Ni si an	I am here to
Nidhin	I will
Nidhin	I itend to
Nidhin	itend to
Tolen	I will
Tolen	I am going to
Tolen	I am coming to
de nathad	help him
de nathad	help her
de nathad	help it
dhe nathad	help you
di nathad	help them
gi nathad	help you
mhe nathad	help us
nathad ben	help someone
nathad	help
ni nathad	help me
de nestad	heal him
de nestad	heal her
de nestad	heal it
dhe nestad	heal you
di nestad	heal them
gi nestad	heal you
mhe nestad	heal us
nestad ben	heal someone
nestad	heal
ni nestad	heal me
de leithiad	release him
de leithiad	release her
de leithiad	release it
dhe leithiad	release you
di leithiad	release them
gi leithiad	rlease you
leithiad ben	release someone
leithiad	release
mhe leithiad	release us
ni leithiad	release me
beriad ben	protect someone
beriad	protect
de meriad	protect him
de meriad	protect her
de meriad	protect it
dhe meriad	protect you
di meriad	protect them
gi meriad	protect you
mhe meriad	protect us
ni meriad	protect me
Gellon ned i cenin i chent dhîn ned i gladhodh	I love to see your eyes shine when you laugh
Gellon ned i cenin i chent dhîn ned i gladhodh	I delight when your eyes shine when you laugh
Anthon i mheleth nîn anden	I give you my love
De i mheleth e-guil nîn	you are the love of my life
De i mhelethril e-guil nîn	you are the love of my life
De i mhelethril nîn	you are my love
De i mhelethron e-guil nîn	you are the love of my life
De i mhelethron nîn	you are my love
Semhidh i mheleth nîn	you have my love
Ni mestathodh?	will you marry me?
Avon dhe mestad	I will not marry you
Avon dhe mestad	I refuse to marry you
Avon gi mestad	I will not marry you
Avon gi mestad	I refuse to marry you
Dhe mestathon	I will marry you
Ni melathodh n’uir?	will you love me for eternity?
Ni melathog n’uir?	will you love me for eternity?
Ni melidh?	do you love me?
Ni melig?	do you love me?
Law dhe melin	I do not love you
Law gi melin	I do not love you
Dhe melin	I love you
Gi melin	I love you
De melidh?	do you love him?
De melidh?	do you love her?
De melidh?	do you love it?
De melig?	do you love him?
De melig?	do you love her?
De melig?	do you love it?
De melin	I love him
De melin	I love her
De melin	I love it
And i dhûmh hen	you are in for a long night
And i dhûmh hen	long will be this night
Ci írui	you are desireable
Aníron cened i chent gîn n’i gellog	I want to see your eyes when you rejoice
Istog an challas hadhod maer	you know for which a dwarves height is good
Istog an challas perian maer	you know for whiche a hobbits height is good
Matho nin sui mathog i mhagol gîn	wield me as you wield a sword
Matho nin sui mathog i mhagol gîn	wield me like you wield a sword
Reithathanc nad ‘wain	let us try something new
Reithathanc nad ‘wain	we are willing to try something new
Am egor nu?	top or bottom?
Am egor nu?	over or under?
Am	top
Am	over
Nu	bottom
Nu	under
Ni am gin anin lûmh hen?	I am on you this time?
Ni nu gin anin lûmh hen?	I am under you this time?
I lebid nîn egor i baur nîn?	my fingers or my fist?
Gellon n’i iuithog i baur gîn	I delight when you use your fist
I baur gîn	your fist
I lebid gîn	your fingers
Avo bedo ‘semhin i dhâf’ a charo!	do not say 'do I have permission' and do it!
Semhin i dhâf gîn an gi mibed?	can I kiss you?
Semhin i dhâf gîn an gi mibed?	do I have permission to kiss you?
Mibo nin!	kiss me!
Semhin i dhâf gîn an de lamhed?	can I lick it?
Semhin i dhâf gîn an de lamhed?	do I have your permission to lick it?
Lamho den	lick it
Semhin i dhâf gîn de nestaged hi?	can I put it in now?
Semhin i dhâf gîn de nestaged hi?	do I have your permission to insert it in now?
Nestago den!	put it in!
Nestago den!	insert it!
Pathro	fill
Alae, rimmog	behold, you flow like a torrent
Heltho	strip
No gûn annin	be bent for me
Hiro i râph	find the rope
Gwedho nin ah ú-belin mened, bauglirig	bind me and I can not leave, tyrant
Pelio ‘laew	spread the salve
Po mhan ‘laew?	where is the salve
Po mhan ‘laew?	where is the lubrication
A-charo!	do it again!
A-charo!	again!
Avo dharo!	do not stop!
Brono i vellas hen trî dhû!	may this energy last the night!
Brono i vellas hen trî dhû!	may this strenght last throughout the night!
Dringo nin!	beat me!
Mi mhan ha nestegig?	where do you think you are putting that?
Mi mhan ha nestegig?	where are you putting that?
Ritho! No lagor!	make rapid movements! be fast!
Av-edro fennas! Ni helt!	do not open the door! I am naked!
N’i dandelig, tampho	next time, knock
N’i dandelig, tampho	when you return, knock
A, theilin i chedhyd teiliar	oh, the games that dwarves play
A, theilin in edain teiliar	oh, the games that men play
A, theilin in edain teiliar	oh, the games that humans play
A, theilin in edhil teiliar	oh, the games that elves play
Nauthon den i ‘lam trasta i sammarath ‘wîn	I think the noise upsets the neighbors
Nauthon den i ‘lam trasta i sammarath ‘wîn	I think that the noise disturbs all of our neighbors
Ned i postog a nin, ni bant	when you lie beside me, I am complete
Ned i postog a nin, ni bant	when you rest besides me, I am complete
Meren i dhû hen	what a night
Bestassenc?	Does this mean we are married?
Meren i dhû hen	joyous was the night
Bestassenc?	Are we wed?
Hiro hîdh neñ gurth	find peace in death
Nínion anin gurth dhîn	I weep for your death
Nínion anin gwannad dhîn	I mourn your passing
Nínion anin gwannad dhîn	I weep for your passing
Govado i nothrim în ah i mellyn în mi Mannos	may you join your family and friends in the afterlife
Govado i nothrim în ah i mellyn în mi Mannos	may you meet your family and friends in Mandos
Gwannast vae	he died well
Gwannast vae	she died well
Gwannast vae	it died well
Samho hîdh neñ gurth	have peace in death
Goltho nin	teach me
Niñ golthathodh?	would you please teach me?
Niñ golthathodh?	will you teach me?
Avon dheñ golthad	I will not teach you
Avon dheñ golthad	I refuse to teach you
Avon giñ golthad	I will not teach you
Avon giñ golthad	I refuse to teach you
Giñ golthathon	I will teach you
Dheñ golthathon	I will teach you
Istanthathodh o	you give knowledge about
annin	to me
Istantho o	give knowledge about
Aníron geliad o	I want to learn how to
Aníron geliad o	I want to learn about
Avon istaned o	I will not give knowledge about
achin	to you
anden	to you
Istanthathon o	I will give knowledge about
Istannathon o	I will give knowledge about
bastad	bake bread
bastad	baking bread
lhilthad	dance
lhilthad	dancing
magad	forge metal
magad	forging metal
medhiad mhaeas	knead dough
medhiad mhaeas	kneading dough
chaded bilind	shoot arrows
chaded bilind	shooting an arrow
chaded aith	throw spears
chaded aith	throwing spears
chaded ecthel	throw spears
chaded ecthel	throwing spears
chared adab	build a building
chared adab	building a building
chared eithel	build a well
chared eithel	building a well
chared fennas	build a gate
chared fennas	building a gate
chared gair	build a boat
chared gair	building a boat
chared iant	build a bridge
chared iant	building a bridge
chared iâth	building a fence
chared iâth	build a fence
chared lembas	make lembas
chared lembas	making lembas
chared mardh	build a house
chared mardh	building a house
chared mhiruvor	make miruvor
chared mhiruvor	making miruvor
chared râm	build a wall
chared râm	building a wall
chared varad	build a fortress
chared varad	building a fortress
charphad sui adan	speak like a man
charphad sui adan	speak like a human
charphad sui adan	speaking like a man
charphad sui adan	speaking like a human
charphad sui chadhod	speak like a dwarf
charphad sui chadhod	speaking like a dwarf
charphad sui edhel	speaking like an elf
charphad sui edhel	speak like an elf
charphad sui ñolodh	speak like a Noldorin Elf
charphad sui ñolodh	speaking like a Noldo
cheniad Annúnaid	understand Westron
cheniad Annúnaid	understanding Westron
cheniad Chadhodren	understand Dwarvish
cheniad Chadhodren	understanding Dwarvish
cheniad Edhellen	understand Sindarin
cheniad Edhellen	understand Elvish
cheniad Ñolodhbaeth	understand Quenya
cheniad Ñolodhbaeth	understanding Quenya
chrithad	reap
chrithad	reaping
farad	hunt
farad	hunting
gannadad	play a harp
gannadad	playing a harp
gobenthas	history
gonoded	math
hangerthas	read runes
hangerthas	the runic alphabet
hechaded bilind	fashion an arrow
hechaded bilind	fashioning an arrow
hechaded gorf	fashion a ring
hechaded gorf	fashioning a ring
hechaded aith	fashion a spearpoint
hechaded aith	fashioning a spearpoint
hechaded beng	fashion a bow
hechaded beng	fashioning a bow
hechaded châdh	fashioning a cleaver
hechaded châdh	fashion a cleaver
hechaded chathol	fashion an axe
hechaded chathol	fashioning an axe
hechaded ecthel	fashion a spearpoint
hechaded ecthel	fashioning a spearpoint
hechaded grist	fashion a cleaver
hechaded grist	fashioning a cleaver
hechaded lang	fashion a cutlass
hechaded lang	fashioning a cutlass
hechaded mhagol	fashion a sword
hechaded mhagol	fashioning a sword
hechaded ñannel	fashion a harp
hechaded ñannel	fashioning a harp
hechaded nell	fashion a bell
hechaded nell	fashioning a bell
hechaded rôm	fashion a trumpet
hechaded rôm	fashioning a trumpet
hi deilien hen	play this game
hi deilien hen	this game
lhinnad	chant
lhinnad	chanting
lhiriad	sing
lhiriad	singing
lhuithad	cast a spell
lhuithad	enchanting
maethad	fight
maethad	fighting
maethad na châdh	fight with a cleaver
maethad na châdh	fighting with a cleaver
maethad na chathol	fight with an axe
maethad na chathol	fighting with an axe
maethad na christ	fight with a cleaver
maethad na christ	fighting with a cleaver
maethad na lang	fighting with a cutlass
maethad na lang	fight with a cutlass
maethad na magol	fight with a sword
maethad na magol	fighting with a sword
maethad na pheng	fight with a bow
maethad na pheng	fighting with a bow
maethad nan i phoer nîn	fight with my fists
maethad nan i phoer nîn	fighitng with my fists
narad	tell a story
narad	narrating a story
nellad	ring a bell
nellad	ringing a bell
nestad	heal
nestad	healing
northad roch	ride a horse
northad roch	riding a horse
theithad dîw	write Tengwar
theithad dîw	writing Tengwar letters
theithad girth	write ruins
theithad girth	writing ruins
theliad rôm	play a trumpet
theliad rôm	playing a trumpet
thiwdi	read Tengwar
thiwdi	the Tengwar alphabet
gwennig	my little maid
gwennig	maiden
ionneg	my little boy
ionneg	my little son
ionneg	little boy
ionneg	little son
pinig	my little one
pinig	little
aran mhuin	beloved king
bereth mhuin	beloved queen
brannon mhuin	beloved lord
brennil mhuin	beloved lady
caun mhuin	beloved prince
cund mhuin	beloved prince
heryn mhuin	beloved lady
hîr mhuin	beloved lord
hiril mhuin	beloved lady
rîn mhuin	beloved queen
rîs mhuin	beloved queen
Eglerio!	glorify!
Edregol mhaer	that is wonderful
Edregol mhaer	especially good
Agóredh mhae	you did well
Mae benthen	well said
Mae garnen	well done
Goheno nin; i ‘lîr dhîn ni phrestant	forgive me; but your song moved me
Goheno nin; i ‘lîr dhîn ni phrestant	forgive me; your song moved me
Gannadodh mhae	you play the harp well
Linnog mhae	you sing well
Linnodh mhae	you wing well
Ned i linnodh, im in elin gellar	when you sing, the stars themselves rejoice
N’uir i thiad dhîn ‘ell	ever is your presence a joy
N’uir i thiad dhîn ‘ell	for eternity your appearance is a joy
Mae thiol	looking good
Mae thiol	appearing well
Bain i find dhîn	your hair is pretty
Bain i find dhîn	beautiful is your hair
Bain i find dhîn	your hair is beautiful
Palan-hinthen i thîr vain dhîn	your beauty is famous
Palan-hinthen i thîr vain dhîn	known far and wide is your fair face
Thiodh mhae	you look good
Thiodh mhae	you seem well
De a mellon	you are with a friend
De a mellyn	you are with friends
De i mhellon nîn n’uir	forever you are my friend
De i mhellon nîn n’uir	you are my friend for eternity
I goth-e-goth nîn i mhellon nîn	the enemy of my enemy is my friend
Pedathab hi sui mhellyn?	may we speak as friends now?
Pedathab hi sui mhellyn?	we will speak now as friends?
Ci athae	thank you
Ci athae	you were helpful
Ci athae	you are helpful
De athae	thank you
De athae	you were helpful
De athae	you are helpful
Ci fael	thank you
Ci fael	you were generous
Ci fael	you were just
Ci fael	you are generous
Ci fael	you are just
De fael	thank you
De fael	you were generous
De fael	you were just
De fael	you are generous
De fael	you are just
Ci mhilui	thank you
Ci mhilui	you are kind
Ci mhilui	you were kind
De mhilui	thank you
De mhilui	you are kind
De mhilui	you were kind
I ant dhîn mhîr mhin faer nîn	I shall treasure your gift in my heart
I ant dhîn mhîr mhin faer nîn	your gift is a treasure in my soul
I ant dhîn mhîr mhin faer nîn	I shall treasure your gift in my soul
I ant dhîn mhîr mhin faer nîn	your gift is a treasure in my heart
I ‘ell nîn	it is my pleasure
I ‘ell nîn	it was my pleasure
I ‘ell nîn	my joy
Ni ’lassui	I am glad
Ci mhaer?	do you feel well?
Ci mhaer?	are you good?
De mhaer?	do you feel well?
De mhaer?	are you good?
Fer-nesto im!	get better soon!
Fer-nesto im!	heal yourself promptly!
Almhaer	not good
Pen-‘ur!	heartless!
Pen-‘ur!	conscience-less!
Pen-channas!	idiot!
Pen-channas!	intelligence-less!
Pen-ind!	spineless!
Pen-ind!	will-less!
Thiol alvain	looking bad
Thiol alvain	looking rough
Thiol alvain	appearing ugly
Law thraston	I do not care
Law thraston	I do not trouble myself
Avomh nathlad ‘werth min daur mhîn	we do not welcome traitors into our forest
Avomh nathlad ‘werth min daur mhîn	we refuse to welcome betrayers in our forest
Ci law mhaer annin	I do not like you
Ci law mhaer annin	you are not good to me
Ci orch ‘waur	you are a dirty orc
Edledhio uin dôr nîn	I banish you from my land
Edledhio uin dôr nîn	go on to exile from my land
Gi fuion	I am disgusted with you
Gi fuion	I abhor you
Goston achin	I am worried about you
Goston achin	I fear for you
Goston athen	I am worried about him
Goston athen	I am worried about her
Goston athen	I am worried about it
Goston athen	I fear for him
Goston athen	I fear for her
Goston athen	I fear for it
Goston athin	I am worried about them
Goston athin	I fear for them
I dhôl gîn lost	your head is empty
I naneth gîn thia hui úan	your mother looks like a monster
I naneth gîn thia hui úan	your mother appears like a monster
Lasto i lalaith nîn	listen to my laughter
Lasto i lalaith nîn	hear my laughter
Nidhin soged i nîr haer gîn	I will drink your bitter tears
Nidhin soged i nîr haer gîn	I intend to drink your bitter tears
Niñ gweriantheg	you betrayed me
Penig ‘ûr	you are heartless
Penig ‘ûr	you lack a conscience
Penig ‘ûr?	are you heartless?
Penig ‘ûr?	do you lack a conscience?
Penig channas	you are stupid
Penig channas	you lack intelligence
Penig channas?	are you stupid?
Penig channas?	do you lack intelligence?
Penig ind	you are spineless
Penig ind	you lack will
Penig ind?	are you spineless?
Penig ind?	do you lack will?
Penin estel	I have no hope
Penin estel	I lack hope
Semhig i challas naug	you are as tall as a Dwarf
Semhig i challas naug	you have the height of a Dwarf
Thiog hui úan	you look like a monster
Thiog hui úan	you appear like a monster
Thostog hui úan	you smell like a monster
Thostog hui úan	you stink like a monster
Caro!	do it!
Caro!	do!
Pi aníron garth eingarnen, im câr	if I want something done, I do it myself
Pi aníron garth eingarnen, im câr	if I desire a deed done well, I do it myself
Posto	stop that
Posto	rest
Alben câr, avo drasto	no one does, do not worry about it
Alben câr, avo drasto	no one does, do not trouble
Av-‘osto	do not be afraid
Av-‘osto	do not fear
Avo dhavo	do not yield
Avo dhavo am môr	do not yield to darkness
Avo gesto a thrastad; tôl achin	do not look for trouble; it comes to you
Avo gesto a thrastad; tôl achin	do not search for troubling; it comes to you
Avo gesto a thrastad; tôl anden	do not look for trouble; it comes to you
Avo gesto a thrastad; tôl anden	do not search for troubling; it comes to you
Avo mhuio	do not wine
Avo mhuio	stop whining
Avo bedo	do not speak
Avo drasto	do not worry
Avo drasto	do not trouble
Avo garo!	do not do it!
Avo nago i lemhain tad-dail	Do not kill the Tad-dails
I lemhain tad-dail Naugrim, a Naugrim toler ruthrad na ‘wen	The dwarves will be angry with us, because Tad-dails are dwarves
Avo nago i lemhain tad-dail	Do not kill the bipeds.
I lemhain tad-dail Naugrim, a Naugrim toler ruthrad na ‘wen	Bipeds are dwarves, and the dwarves will rage at us
Ceno nin	look at me
Ceno nin	see me
Estel a thi ai benir amdir	faith for those who lack hope
Estel a thi ai benir amdir	faith is for those who lack hope
Goheno den	forgive him
Goheno den	forgive her
Goheno den	forgive it
Goheno din	forgive them
Goheno	forgive
Lasto nin	listen to me
Lasto nin	hear me
No bell	be quiet
No bell	be still
No dhínen!	be silent!
Reitho añ glass	try to be happy
Reitho añ glass	strive for joy
Samho amdir	have hope
Samho amdir	have hope based on reason
Law!	it is not so!
Law!	no!
Naw!	it is so! 
Naw!	it is!
Alae!	behold!
Baw!	do not do it!
Baw!	do not!
Elo!	wow!
Ma!	good!
Ma!	great!
Ma!	excellent!
Ma!	that is right!
Nae!	alas!
No!	may it be so!
Û!	it can not be!
Û!	it can not be so!
Na mhedui!	at last!
Nan i ‘aear ah in elin!	by the sea and the stars!
Nan i ‘aear ah in elin!	with the sea and the stars!
No lim!	hurry!
No lim!	be swift!
Pessas nin!	I am moved!
Pessas nin!	I am changed!
Pessas nin!	I am affected!
Tirio!	look out!
Tirio!	watch!
Tirio!	guard!
Avo garo!	do not do it!
No dhínen!	be silent!
Amarth faeg!	evil fate!
Amarth faeg!	poor fate!
Delos!	loathing!
Delos!	abhorrence!
Eithad!	insulting!
Eithad!	an insult!
Gorgor!	horrors!
Gorgor!	horror!
Gweriad!	betrayal!
Naeg!	ouch!
Naeg!	pain!
Naergon!	lament!
Naergon!	a lament!
Neithan!	wronged!
Rhaich!	curses!
Saew!	poison!
Siniath faeg!	rotten news!
Siniath faeg!	poor news!
Trastad!	trouble!
Meno!	go!
Pi iestodh	if you wish
Pi iestog	if you wish
Agóren	I did 
Athomh	we agree to it
Athomh	we are willing to do it
Athon	I agree to it
Athon	I am willing to do it
Ben iest dhîn	as you wish
Ben iest dhîn	according to your wish
Ben iest gîn	as you wish
Ben iest gîn	according to your wish
Carathon i iest dhîn	I will do your wish
Carathon i iest dhîn	I am willing to do your wish
Carathon i iest gîn	I will do your wish
Carathon i iest gîn	I am willing to do your wish
De charathon	I will do it
De charathon	I am willing to do it
Gweston nidhin de chared	I swear I will do it
Gweston nidhin de chared	I promise I will do it
Gweston nidhin de chared	I swear that I intend to do it
Gweston nidhin de chared	I promise that I intend to do it
I ‘ûr nîn be hen	my heart is like this
I ‘ûr nîn be hen	my heart is in accordance with this
I ‘ûr nîn be hen	my conscience is in accordance with this
I naw nîn ben naw dhîn	my thought is like yours
I naw nîn ben naw dhîn	my thought is in accordance to your thought
I naw nîn ben naw gîn	my thought is in accordance to your thought
I naw nîn ben naw gîn	my thought is like yours
Thand	that is true
Thand	true
Thand	abiding
Laemh	not us
Laen	not me
Law agóren	I did not
Althand	not true
Althand	un-true
Althand	false
Avomh	we will not
Avomh	we refuse
Avon cared	I refuse to do it
Avon cared	I will not do it
Avon cared i iest dhîn	I refuse to do your wish
Avon cared i iest dhîn	I will not do your wish
Avon cared i iest gîn	I refuse to do your wish
Avon cared i iest gîn	I will not do your wish
I naw nîn law ven naw dhîn	my thought is not like yours
I naw nîn law ven naw dhîn	my thought is not in accordance to your thought
I naw nîn law ven naw gîn	my thought is not like yours
I naw nîn law ven naw gîn	my thought is not in accordance to your thought
Penimh	not us
Penimh	we lack
Penin	not me
Penin	I lack
Pi den anírodh	if you want it
Pi den anírog	if you want it
Anin gell nîn	for my joy
Annin	for me
Athodh?	would you please?
Athodh?	will you agree to?
Athog?	would you please?
Athog?	will you agree to?
Dhen iallon	I beg of you
Dhen iallon	I cry out to you
Gin iallon	I beg of you
Gin iallon	I cry out to you
Díheno nin	forgive me
Goheno den	forgive him
Goheno den	forgive her
Goheno den	forgive it
Goheno din	forgive them
Goheno nin	forgive me
Goheno	forgive
Ni dem achin	I am sad for you
Ni dem anden	I am sad for you
A man?	along with what?
A man?	along with who?
A man?	alongside what?
A man?	alongside who?
A man?	beside what?
A man?	beside who?
Adel mhan?	behind what?
Am man theled?	for what purpose?
Am man?	for what?
Am man?	for who?
Atha man?	beyond what?
Atha man?	beyond where?
Be mhan?	according to what?
Be mhan?	according to who?
Da man?	against what?
Da man?	against who?
E man?	out of what?
E man?	out of where?
Lûmh mhan?	what time?
Lûmh mhan?	which time?
Man?	who?
Man?	what?
Man?	which?
Mi mhan?	in what?
Mi mhan?	in where?
Na mhan?	at what?
Na mhan?	at where?
Na mhan?	at when?
Nad mhan?	which one?
Nad mhan?	which thing?
Ne man?	during when?
Ne man?	during what?
Nu mhan?	under what?
Nu mhan?	under where?
O man?	from what?
O man?	about what?
O man?	concerning what?
Or van?	over where?
Or van?	over what?
Pen mhan?	what person?
Pen mhan?	which person?
Po mhan?	on where?
Po mhan?	on what?
Sad mhan?	what place?
Sui mhan?	like what?
Thar mhan?	across where?
Thar mhan?	across what?
Am man avon?	why not?
Am man avon?	for what do I refuse?
Ma den agor?	who did it?
Ma den?	what is it?
Ma den?	who is it?
Ma den?	what was it?
Ma den?	who was it?
Ma han?	what is that?
Ma han?	what was that?
Ma hen?	what is this?
Ma hen?	what was this?
Ma i theled?	what is the purpose?
Semhin dhâf?	may I?
Semhin dhâf?	do I have permission?
Ni carweg!	I am busy!
Boe?	is it necessary?
Law moe	it is not necessary
Boe	it is necessary
Te telianthen?	is it done?
Te telianthen?	is it completed?
Te law delianthen	it is not done
Te law delianthen	it is not completed
Te telianthen	it is done
Te telianthen	it is completed
I dass carnen?	is the task done?
I dass law garnen	the task is not done
I dass carnen	the task is done
Ab telib	after we finish
Ab telib	after we do this
Ab telimh	after we finish
Ab telimh	after we do this
Ab telin	after I finish
Ab telin	after i do this
Ab telinc	after we finish
Ab telinc	after we do this
Edíleg?	are you finished?
Edíleg?	did you finish?
Edílen	I am done
Edílen	I finished
Law edílen	I am not done
Law edílen	I did not finish
Edíledh?	are you finished?
Edíledh?	did you finish?
Edílemh	we are done
Edílemh	we finished
Law edílemh	we are not done
Law edílemh	we did not finish
Amman agóreg?	why did you do that?
Amman agóreg?	for what you did?
Amman agóredh?	why did you do that?
Amman agóredh?	for what you did?
Amman cared?	what was the point of doing that?
Amman cared?	what is the purpose of doing?
Man agóreg?	what did you do?
Man agóredh?	what did you do?
Man agórer achin?	what happened to you?
Man agórer achin?	what did they do to you?
Man agórer anden?	what happened to you?
Man agórer anden?	what did they do to you?
Man cerig?	what are you doing?
Man cerig hi?	what are you doing here?
Man ceridh?	what are you doing?
Man ceridh hi?	what are you doing here?
Man câr?	what is he doing?
Man câr?	what is she doing?
Man câr?	what is it doing?
Man câr hi?	what is he doing here?
Man câr hi?	what is she doing here?
Man câr hi?	what is it doing here?
Man cerir?	what are they doing?
Man cerir hi?	what are they doing here?
Semhig chûr?	are you ready?
Semhig chûr?	you have readiness for action?
Penin chûr	I am not ready
Penin chûr	I lack readiness for action
Semhin chûr	I am ready
Semhin chûr	I have readiness for action
Semhidh chûr?	are you ready?
Semhidh chûr?	you have readiness for action?
Penimh chûr	we are not ready
Penimh chûr	we lack readiness for action
Sevimh chûr	we are ready
Sevimh chûr	we have readiness for action
Hîr-e-deilien	lord of the game
Hîr-e-deilien	game master
I mheth!	the end!
Narphen	character
Narphen	story person
Oronthad Mheren!	happy birthday!
Oronthad Mheren!	festive day of begetting!
Tegilbor	writer
Teilior	player
Iesto i narn!	may the tale begin!
Iesto i narn!	may the story begin!
Pi law aphedidh; avon teithad	if you do not answer; I do not write
Pi in noer i lam dhîn nin dringar, annon naeg dheleb anden	if the flames of your tongue toch me, I will give you horrible pain
Pi in noer i lam dhîn nin dringar, annon naeg dheleb anden	if the flames of your tongue strike me, I will give you horrible pain
Anthon i narn hen	I give you this
Anthon i narn hen	I present to you this
pen vain	a beauty
nîr	tears
lalaith	laughter
meleth	love
trevaded	a journey
estel	hope
a phen vain	and a fair one
a nîr	and tears
a lhalaith	and laughter
a meleth	and love
a threvaded	and a journey
ah estel	and hope
anden	tale
Avo bosto teithad	do not pause writing
Avo bosto teithad	continue writing
Ceno i narn nîn	look at my story
Ceno i narn nîn	look my story
